photo_no,group,family,genus,species,sub.var,link,location,photographer
16,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/34829,"Taken at. ANBG, ACT","Photographer. Fagg, M."
17,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/foa/682,Taken at. ,Photographer. see Illustrator
18,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/foa/682,Taken at. ,Photographer. see Illustrator
0,native,Poaceae,Agrostis,avenacea,var. avenacea,,,nan
0,native,Rutaceae,Correa,alba,,/photo/apii/id/a/488,Taken at. ANBG 138 027,Photographer. 
1,native,Rutaceae,Correa,alba,,/photo/apii/id/a/5581,Taken at. ANBG,"Photographer. O'Ryan, K"
2,native,Rutaceae,Correa,alba,,/photo/apii/id/a/26544,"Taken at. Wittunga Botanic Gardens, near Adelaide, SA","Photographer. Fagg, M."
3,native,Rutaceae,Correa,alba,,/photo/apii/id/a/6889,"Taken at. ANBG, ACT","Photographer. Greig, D."
4,native,Rutaceae,Correa,alba,,/photo/apii/id/dig/8223,Taken at. ANBG,"Photographer. Fagg, M."
5,native,Rutaceae,Correa,alba,,/photo/apii/id/x/1197,Taken at. Unknown,Photographer. Unknown
6,native,Rutaceae,Correa,alba,,/photo/apii/id/x/1277,Taken at. ,"Photographer. Hitchcock, M"
7,native,Rutaceae,Correa,alba,,/photo/apii/id/x/3578,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
8,native,Rutaceae,Correa,alba,,/photo/apii/id/x/1815,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
9,native,Rutaceae,Correa,alba,,/photo/apii/id/x/3194,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
10,native,Rutaceae,Correa,alba,,/photo/apii/id/x/3579,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
11,native,Rutaceae,Correa,alba,,/photo/apii/id/x/2074,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
12,native,Rutaceae,Correa,alba,,/photo/apii/id/x/2212,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
13,native,Rutaceae,Correa,alba,,/photo/apii/id/a/26561,"Taken at. ANBG, ACT","Photographer. Fagg, M."
14,native,Rutaceae,Correa,alba,,/photo/apii/id/x/2058,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
